,FacilityName,StreeetNo,StreetName_Suffix,StreetDirection,UnitNumber,Municipality,Telephone,Fax,Address,Coordinates,Latitude,Longitude
0,No Frills,1135,Thompson Road,,,Fort Erie,(905) 994-8254,(905) 994-8257,"1135, Thompson Road, Fort Erie","1135, Thompson Road, Fort Erie, Regional Municipality of Niagara, Ontario, L2A 1P1, Canada",42.9072983666667,-78.9405943666667
1,Sobey's,450,Garrison Road,,,Fort Erie,(905) 871-0463,(905) 871-5044,"450, Garrison Road, Fort Erie","450, Garrison Road, Fort Erie, Regional Municipality of Niagara, Ontario, L2A 1P1, Canada",42.9055695857143,-78.9337367076923
2,Shoppers Drug Mart,42,St Andrews Avenue,,1,Grimsby,(905) 945-9775,(905) 945-7705,"42, St Andrews Avenue, Grimsby","42, St Andrews Avenue, Grimsby Square, Grimsby, Regional Municipality of Niagara, Ontario, L3M 3V6, Canada",43.1975319,-79.567747
3,Shoppers Drug Mart,5125,Montrose Road,,,Niagara Falls,(905) 357-1100,,"5125, Montrose Road, Niagara Falls","5125, Montrose Road, Niagara Falls, Regional Municipality of Niagara, Ontario, L2H 2W9, Canada",43.0990408746479,-79.1240923140845
4,Busy Bee Food Mart,5203,Victoria Avenue,,,Niagara Falls,(905) 353-8382,,"5203, Victoria Avenue, Niagara Falls","5203, Victoria Avenue, Niagara Falls, Regional Municipality of Niagara, Ontario, L2G3L2, Canada",43.0989438454545,-79.0731621090909
5,Big Bee Convenience & Food Mart,81,Queenston Street,,,St. Catharines,(905) 984-6632,,"81, Queenston Street, St. Catharines","81, Queenston Street, St. Catharines, Regional Municipality of Niagara, Ontario, L2R 4A7, Canada",43.1635525,-79.2353524
6,Outlet Collection at Niagara- Pepper Palace,300,Taylor Rd.,,729,Niagara-on-the-Lake,(905) 685-3232,,"300, Taylor Rd., Niagara-on-the-Lake","Tommy Hilfiger, 300, Taylor Road, Niagara-on-the-Lake, Regional Municipality of Niagara, Ontario, L0S 1J0, Canada",43.1580089,-79.1717666
7,Celi & Presti Supermarket,390,Crowland Avenue,,,Welland,(905) 734-7166,905-734-7067,"390, Crowland Avenue, Welland","390, Crowland Avenue, Welland, Regional Municipality of Niagara, Ontario, L3B 2E2, Canada",42.9843869121328,-79.2360606430051
8,Polonez Meat Market,25,Facer Street,,,St. Catharines,(905) 938-0348,,"25, Facer Street, St. Catharines","25, Facer Street, St. Catharines, Regional Municipality of Niagara, Ontario, L2M 5M7, Canada",43.1751707333333,-79.2274649666667
9,Walmart,102,Primeway Drive,,,Welland,(905) 735-3500,,"102, Primeway Drive, Welland","102, Primeway Drive, Welland, Regional Municipality of Niagara, Ontario, L3C 1M3, Canada",43.0149408268935,-79.2297916699162
10,Antipasto di Roma ,87,Hannover Drive,,,St. Catharines,(905) 641-5211,,"87, Hannover Drive, St. Catharines","87, Hannover Drive, St. Catharines, Regional Municipality of Niagara, Ontario, L2N 7M4, Canada",43.174536,-79.277883
11,Food Basics,124,Clarence Street,,,Port Colborne,(905) 834-8800,(905) 834-8900,"124, Clarence Street, Port Colborne","Clarence Street, Port Colborne, Regional Municipality of Niagara, Ontario, L3K 5V4, Canada",42.8857532,-79.2751805
12,Metro,101,Lakeshore Road,,,St. Catharines,(905) 934-0131,,"101, Lakeshore Road, St. Catharines","101, Lakeshore Road, St. Catharines, Regional Municipality of Niagara, Ontario, L2M 7C4, Canada",43.2034463,-79.2448875
13,Shoppers Drug Mart,815,Ontario Road,,,Welland,905-788-2111,,"815, Ontario Road, Welland","815, Ontario Road, Welland, Regional Municipality of Niagara, Ontario, L3B 5E4, Canada",42.9748159266667,-79.2389204333333
14,Al Noor,121,Geneva Street,,,St. Catharines,(905) 688-0000,905-688-0006,"121, Geneva Street, St. Catharines","121, Geneva Street, St. Catharines, Regional Municipality of Niagara, Ontario, L2R 5E7, Canada",43.1668438,-79.2405381
15,Sobey's,287,Westside Rd.,,,Port Colborne,(905) 834-0220,,"287, Westside Rd., Port Colborne",,,
16,British Grocer Niagara,3643,Portage Road,,31,Niagara Falls,(905) 354-8882,,"3643, Portage Road, Niagara Falls","3643, Portage Road, Niagara Falls, Regional Municipality of Niagara, Ontario, L2J 1C2, Canada",43.1202420410714,-79.0996756089286
17,FreshCo,5931,Kalar Road,,,Niagara Falls,(905) 371-3113,,"5931, Kalar Road, Niagara Falls","5931, Kalar Road, Niagara Falls, Regional Municipality of Niagara, Ontario, L2H 1H3, Canada",43.0876934466667,-79.13623592
18,FreshCo,835,Ontario Road,,,Welland,(905) 735-2525,(905) 788-1041,"835, Ontario Road, Welland","835, Ontario Road, Welland, Regional Municipality of Niagara, Ontario, L3B 5E4, Canada",42.9748159933333,-79.2387547666667
19,Roman Cheese ,4916,Montrose Road,,,Niagara Falls,(905) 356-2640,,"4916, Montrose Road, Niagara Falls","4916, Montrose Road, Niagara Falls, Regional Municipality of Niagara, Ontario, L2H 2W9, Canada",43.102141872549,-79.1238712627451
20,Giant Tiger,6161,Thorold Stone Road,,,Niagara Falls,(905) 371-9697,(905) 371-8999,"6161, Thorold Stone Road, Niagara Falls","6161, Thorold Stone Road, Niagara Falls, Regional Municipality of Niagara, Ontario, L2J 1C2, Canada",43.1154499,-79.098876
